crash_id,bus_involvement,heavy_rigid_truck_involvement,articulated_truck_involvement,vehicle_id
20241253,No,No,No,20241253_No_No_No
20243024,No,No,No,20243024_No_No_No
20242224,No,No,No,20242224_No_No_No
20243031,No,No,No,20243031_No_No_No
20242069,No,No,No,20242069_No_No_No
20243156,No,No,No,20243156_No_No_No
20242251,No,No,No,20242251_No_No_No
20244034,No,No,No,20244034_No_No_No
20242090,No,No,No,20242090_No_No_No
20243231,No,No,No,20243231_No_No_No
20242194,No,No,No,20242194_No_No_No
20243142,No,No,No,20243142_No_No_No
20242043,No,Yes,No,20242043_No_Yes_No
20243124,No,Yes,No,20243124_No_Yes_No
20244007,No,No,No,20244007_No_No_No
20242060,No,No,No,20242060_No_No_No
20243104,No,No,No,20243104_No_No_No
20244041,No,No,No,20244041_No_No_No
20246026,No,No,No,20246026_No_No_No
20243021,No,No,Yes,20243021_No_No_Yes
20242155,No,No,No,20242155_No_No_No
20242032,No,Yes,No,20242032_No_Yes_No
20241285,No,No,No,20241285_No_No_No
20244066,No,No,No,20244066_No_No_No
20242064,No,No,No,20242064_No_No_No
20242164,No,No,No,20242164_No_No_No
20244035,No,No,No,20244035_No_No_No
20243018,No,No,No,20243018_No_No_No
20242086,No,No,No,20242086_No_No_No
20243217,No,Yes,No,20243217_No_Yes_No
20243251,No,No,Yes,20243251_No_No_Yes
20243058,No,No,No,20243058_No_No_No
20244046,No,No,No,20244046_No_No_No
20243085,No,No,No,20243085_No_No_No
20244039,No,No,No,20244039_No_No_No
20243240,No,No,No,20243240_No_No_No
20246002,No,No,No,20246002_No_No_No
20242099,No,No,No,20242099_No_No_No
20243063,No,No,No,20243063_No_No_No
20241176,No,No,No,20241176_No_No_No
20247022,No,Yes,No,20247022_No_Yes_No
20241086,No,No,No,20241086_No_No_No
20241224,No,No,No,20241224_No_No_No
20241265,No,No,No,20241265_No_No_No
20241202,No,No,No,20241202_No_No_No
20246023,No,Yes,Yes,20246023_No_Yes_Yes
20241293,No,No,Yes,20241293_No_No_Yes
20241299,No,No,No,20241299_No_No_No
20244078,No,No,No,20244078_No_No_No
20243164,No,Yes,No,20243164_No_Yes_No
20242201,No,No,No,20242201_No_No_No
20241307,No,No,No,20241307_No_No_No
20242074,No,No,No,20242074_No_No_No
20241243,No,No,Yes,20241243_No_No_Yes
20247034,No,No,No,20247034_No_No_No
20241260,No,No,No,20241260_No_No_No
20243004,No,No,No,20243004_No_No_No
20246014,No,No,No,20246014_No_No_No
20242024,No,No,Yes,20242024_No_No_Yes
20243169,No,No,No,20243169_No_No_No
20243081,No,No,No,20243081_No_No_No
20242169,No,No,No,20242169_No_No_No
20241110,No,No,No,20241110_No_No_No
20241082,No,No,No,20241082_No_No_No
20241159,No,No,No,20241159_No_No_No
20246022,No,No,No,20246022_No_No_No
20241229,No,No,No,20241229_No_No_No
20242026,No,No,No,20242026_No_No_No
20242268,No,Yes,No,20242268_No_Yes_No
20242238,No,No,No,20242238_No_No_No
20242122,No,No,No,20242122_No_No_No
20241046,No,No,No,20241046_No_No_No
20243192,No,No,No,20243192_No_No_No
20241032,No,No,No,20241032_No_No_No
20241031,No,No,No,20241031_No_No_No
20243254,No,No,No,20243254_No_No_No
20243133,No,No,No,20243133_No_No_No
20241203,No,No,No,20241203_No_No_No
20243118,No,No,No,20243118_No_No_No
20243173,No,No,No,20243173_No_No_No
20243199,No,No,No,20243199_No_No_No
20244003,No,No,No,20244003_No_No_No
20241298,No,No,Yes,20241298_No_No_Yes
20242112,No,No,No,20242112_No_No_No
20243092,No,Yes,No,20243092_No_Yes_No
20243042,No,No,No,20243042_No_No_No
20244005,No,No,No,20244005_No_No_No
20243178,No,No,No,20243178_No_No_No
20244050,No,No,No,20244050_No_No_No
20241208,No,No,Yes,20241208_No_No_Yes
20242259,No,No,Yes,20242259_No_No_Yes
20242212,No,No,No,20242212_No_No_No
20243019,No,No,No,20243019_No_No_No
20241036,No,No,No,20241036_No_No_No
20242226,No,No,No,20242226_No_No_No
20247007,No,No,No,20247007_No_No_No
20243074,Yes,No,No,20243074_Yes_No_No
20241003,No,No,No,20241003_No_No_No
20241277,No,No,No,20241277_No_No_No
20241249,No,No,No,20241249_No_No_No
20242020,No,No,No,20242020_No_No_No
20242108,No,No,No,20242108_No_No_No
20243120,No,No,Yes,20243120_No_No_Yes
20242187,No,No,No,20242187_No_No_No
20243116,No,No,Yes,20243116_No_No_Yes
20242133,No,No,No,20242133_No_No_No
20241092,No,No,No,20241092_No_No_No
20242121,No,No,No,20242121_No_No_No
20243214,No,No,Yes,20243214_No_No_Yes
20241118,No,No,No,20241118_No_No_No
20243157,No,No,No,20243157_No_No_No
20241190,No,No,Yes,20241190_No_No_Yes
20241097,No,No,No,20241097_No_No_No
20242265,No,No,No,20242265_No_No_No
20241250,No,No,No,20241250_No_No_No
20242200,No,Yes,No,20242200_No_Yes_No
20242234,No,No,No,20242234_No_No_No
20242048,No,No,No,20242048_No_No_No
20242003,No,No,No,20242003_No_No_No
20243252,No,No,No,20243252_No_No_No
20243061,No,No,No,20243061_No_No_No
20242162,No,No,No,20242162_No_No_No
20244071,No,No,No,20244071_No_No_No
20241047,No,No,No,20241047_No_No_No
20241205,No,No,No,20241205_No_No_No
20241024,No,No,No,20241024_No_No_No
20242096,No,No,No,20242096_No_No_No
20242240,No,No,No,20242240_No_No_No
20243139,Yes,No,No,20243139_Yes_No_No
20243075,No,No,No,20243075_No_No_No
20244051,No,No,No,20244051_No_No_No
20241070,No,No,No,20241070_No_No_No
20244079,No,No,No,20244079_No_No_No
20243051,No,No,No,20243051_No_No_No
20242237,No,No,No,20242237_No_No_No
20243148,No,No,No,20243148_No_No_No
20242157,No,No,No,20242157_No_No_No
20244022,No,No,No,20244022_No_No_No
20241142,No,No,No,20241142_No_No_No
20241124,No,No,No,20241124_No_No_No
20241010,No,Yes,Yes,20241010_No_Yes_Yes
20241252,No,No,No,20241252_No_No_No
20243155,No,No,No,20243155_No_No_No
20243163,No,No,No,20243163_No_No_No
20243269,No,No,No,20243269_No_No_No
20243056,No,No,No,20243056_No_No_No
20243049,No,No,No,20243049_No_No_No
20243103,No,No,No,20243103_No_No_No
20242233,No,No,No,20242233_No_No_No
20243014,No,No,No,20243014_No_No_No
20241198,No,No,No,20241198_No_No_No
20242249,No,No,No,20242249_No_No_No
20243154,Yes,No,No,20243154_Yes_No_No
20241100,No,No,No,20241100_No_No_No
20241074,No,No,No,20241074_No_No_No
20243263,No,No,Yes,20243263_No_No_Yes
20242016,No,No,No,20242016_No_No_No
20244017,No,No,No,20244017_No_No_No
20244009,No,No,No,20244009_No_No_No
20242085,No,No,No,20242085_No_No_No
20244012,No,No,No,20244012_No_No_No
20243205,No,No,No,20243205_No_No_No
20241035,No,No,No,20241035_No_No_No
20241161,No,No,No,20241161_No_No_No
20241062,No,No,No,20241062_No_No_No
20243119,No,No,No,20243119_No_No_No
20241155,No,No,No,20241155_No_No_No
20243152,No,No,No,20243152_No_No_No
20243053,No,No,Yes,20243053_No_No_Yes
20241039,No,No,No,20241039_No_No_No
20242154,No,No,No,20242154_No_No_No
20243215,No,No,No,20243215_No_No_No
20243026,No,No,No,20243026_No_No_No
20241050,No,Yes,No,20241050_No_Yes_No
20243271,No,No,Yes,20243271_No_No_Yes
20241133,No,No,No,20241133_No_No_No
20248008,No,Yes,No,20248008_No_Yes_No
20244037,No,No,No,20244037_No_No_No
20242143,No,No,No,20242143_No_No_No
20241273,No,No,No,20241273_No_No_No
20242067,No,No,No,20242067_No_No_No
20242214,No,No,No,20242214_No_No_No
20243238,No,No,No,20243238_No_No_No
20242011,No,No,No,20242011_No_No_No
20241180,No,No,No,20241180_No_No_No
20241059,No,No,No,20241059_No_No_No
20241021,No,No,No,20241021_No_No_No
20242254,No,No,No,20242254_No_No_No
20243256,No,Yes,No,20243256_No_Yes_No
20241245,No,No,No,20241245_No_No_No
20243126,No,No,No,20243126_No_No_No
20244082,No,No,No,20244082_No_No_No
20241108,No,No,No,20241108_No_No_No
20242137,No,No,No,20242137_No_No_No
20241005,No,No,No,20241005_No_No_No
20241051,No,No,No,20241051_No_No_No
20243128,No,No,No,20243128_No_No_No
20242109,No,No,No,20242109_No_No_No
20241116,No,No,No,20241116_No_No_No
20243226,No,No,No,20243226_No_No_No
20242092,No,No,No,20242092_No_No_No
20242125,No,No,No,20242125_No_No_No
20244077,No,No,No,20244077_No_No_No
20242049,No,No,No,20242049_No_No_No
20243265,No,No,No,20243265_No_No_No
20243122,No,No,No,20243122_No_No_No
20243151,No,No,No,20243151_No_No_No
20241283,No,No,No,20241283_No_No_No
20242262,No,No,No,20242262_No_No_No
20242100,No,No,No,20242100_No_No_No
20242211,No,No,No,20242211_No_No_No
20241168,No,No,No,20241168_No_No_No
20241162,No,No,No,20241162_No_No_No
20241073,No,No,No,20241073_No_No_No
20243097,No,No,Yes,20243097_No_No_Yes
20242182,No,No,Yes,20242182_No_No_Yes
20243123,No,No,No,20243123_No_No_No
20242044,No,No,No,20242044_No_No_No
20241120,No,No,Yes,20241120_No_No_Yes
20242266,No,No,No,20242266_No_No_No
20241048,No,No,No,20241048_No_No_No
20243023,No,No,No,20243023_No_No_No
20243137,No,Yes,No,20243137_No_Yes_No
20241200,No,No,No,20241200_No_No_No
20242151,No,No,No,20242151_No_No_No
20242223,No,No,Yes,20242223_No_No_Yes
20241259,No,No,No,20241259_No_No_No
20241264,No,No,No,20241264_No_No_No
20243086,No,No,No,20243086_No_No_No
20242215,No,No,No,20242215_No_No_No
20246012,No,No,No,20246012_No_No_No
20244068,No,No,No,20244068_No_No_No
20241296,No,No,No,20241296_No_No_No
20241006,No,No,No,20241006_No_No_No
20241258,No,No,No,20241258_No_No_No
20241290,No,No,No,20241290_No_No_No
20241056,No,No,No,20241056_No_No_No
20242014,No,No,No,20242014_No_No_No
20241251,No,No,No,20241251_No_No_No
20243076,No,No,No,20243076_No_No_No
20243162,No,No,No,20243162_No_No_No
20242027,No,No,No,20242027_No_No_No
20243029,No,No,No,20243029_No_No_No
20242179,No,No,No,20242179_No_No_No
20244080,No,No,No,20244080_No_No_No
20242241,No,No,No,20242241_No_No_No
20244047,No,No,No,20244047_No_No_No
20241041,No,No,No,20241041_No_No_No
20241165,No,No,No,20241165_No_No_No
20242077,No,No,No,20242077_No_No_No
20242078,No,No,No,20242078_No_No_No
20242017,No,No,No,20242017_No_No_No
20243223,No,No,No,20243223_No_No_No
20241271,No,Yes,No,20241271_No_Yes_No
20242217,No,No,No,20242217_No_No_No
20242245,No,No,No,20242245_No_No_No
20241170,No,No,No,20241170_No_No_No
20242199,No,No,No,20242199_No_No_No
20241177,No,No,No,20241177_No_No_No
20246015,No,No,No,20246015_No_No_No
20242165,No,No,No,20242165_No_No_No
20241011,No,No,No,20241011_No_No_No
20243260,No,No,No,20243260_No_No_No
20241083,No,No,Yes,20241083_No_No_Yes
20246006,No,Yes,No,20246006_No_Yes_No
20244058,No,No,No,20244058_No_No_No
20243218,No,Yes,No,20243218_No_Yes_No
20241089,No,No,No,20241089_No_No_No
20243146,No,No,No,20243146_No_No_No
20241295,No,No,No,20241295_No_No_No
20243264,No,No,No,20243264_No_No_No
20241136,No,No,No,20241136_No_No_No
20241281,No,Yes,No,20241281_No_Yes_No
20241076,No,No,No,20241076_No_No_No
20244073,No,No,No,20244073_No_No_No
20242094,No,No,No,20242094_No_No_No
20241058,No,No,No,20241058_No_No_No
20241019,No,No,No,20241019_No_No_No
20241275,No,No,No,20241275_No_No_No
20243222,No,No,No,20243222_No_No_No
20241065,Yes,No,No,20241065_Yes_No_No
20243094,Yes,No,No,20243094_Yes_No_No
20243145,No,No,No,20243145_No_No_No
20241305,No,No,No,20241305_No_No_No
20242146,No,No,No,20242146_No_No_No
20241231,No,No,No,20241231_No_No_No
20241145,No,No,No,20241145_No_No_No
20241228,No,No,No,20241228_No_No_No
20243030,No,No,No,20243030_No_No_No
20243034,No,No,No,20243034_No_No_No
20242058,No,No,No,20242058_No_No_No
20241085,No,No,No,20241085_No_No_No
20243091,No,No,No,20243091_No_No_No
20243184,No,No,No,20243184_No_No_No
20242104,No,No,No,20242104_No_No_No
20248004,No,No,No,20248004_No_No_No
20242101,No,No,No,20242101_No_No_No
20243195,No,No,No,20243195_No_No_No
20243055,No,No,No,20243055_No_No_No
20241212,No,No,No,20241212_No_No_No
20241241,No,No,No,20241241_No_No_No
20243071,No,No,No,20243071_No_No_No
20241171,No,No,No,20241171_No_No_No
20243193,No,No,No,20243193_No_No_No
20244011,No,No,Yes,20244011_No_No_Yes
20242225,No,No,No,20242225_No_No_No
20242160,No,No,No,20242160_No_No_No
20241183,No,Yes,No,20241183_No_Yes_No
20241025,No,Yes,Yes,20241025_No_Yes_Yes
20241079,No,No,No,20241079_No_No_No
20246010,No,No,No,20246010_No_No_No
20242235,No,No,No,20242235_No_No_No
20242113,No,No,Yes,20242113_No_No_Yes
20242025,No,No,No,20242025_No_No_No
20241148,No,No,No,20241148_No_No_No
20241262,No,No,No,20241262_No_No_No
20241172,No,No,No,20241172_No_No_No
20242192,No,No,No,20242192_No_No_No
20241014,No,No,No,20241014_No_No_No
20242191,No,Yes,No,20242191_No_Yes_No
20243189,No,No,No,20243189_No_No_No
20244033,No,No,No,20244033_No_No_No
20241206,No,No,Yes,20241206_No_No_Yes
20243069,No,No,No,20243069_No_No_No
20243188,No,No,No,20243188_No_No_No
20241130,Yes,No,No,20241130_Yes_No_No
20241178,No,No,No,20241178_No_No_No
20248011,No,No,No,20248011_No_No_No
20241043,No,No,Yes,20241043_No_No_Yes
20244054,No,No,No,20244054_No_No_No
20243032,No,No,No,20243032_No_No_No
20244015,No,No,No,20244015_No_No_No
20243112,No,No,Yes,20243112_No_No_Yes
20243253,No,No,No,20243253_No_No_No
20246028,No,No,No,20246028_No_No_No
20242244,No,No,Yes,20242244_No_No_Yes
20244006,No,No,No,20244006_No_No_No
20241154,No,No,No,20241154_No_No_No
