crash_id,remoteness
20241199,Major Cities of Australia
20243066,Outer Regional Australia
20243233,Outer Regional Australia
20243203,Outer Regional Australia
20242209,Inner Regional Australia
20242056,Major Cities of Australia
20242130,Inner Regional Australia
20243109,Outer Regional Australia
20243010,Very Remote Australia
20243181,Major Cities of Australia
20246018,Inner Regional Australia
20241071,Major Cities of Australia
20241186,Inner Regional Australia
20243078,Major Cities of Australia
20241223,Major Cities of Australia
20241221,Major Cities of Australia
20241143,Inner Regional Australia
20243242,Outer Regional Australia
20242189,Major Cities of Australia
20242170,Major Cities of Australia
20243043,Major Cities of Australia
20241140,Inner Regional Australia
20244063,Remote Australia
20241131,Outer Regional Australia
20242172,Major Cities of Australia
20241111,Major Cities of Australia
20242055,Major Cities of Australia
20241017,Major Cities of Australia
20244067,Major Cities of Australia
20246024,Very Remote Australia
20241254,Inner Regional Australia
20243011,Inner Regional Australia
20246011,Outer Regional Australia
20242177,Major Cities of Australia
20241127,Outer Regional Australia
20241210,Outer Regional Australia
20242132,Inner Regional Australia
20242184,Inner Regional Australia
20241253,Inner Regional Australia
20243024,Major Cities of Australia
20242224,Major Cities of Australia
20243031,Major Cities of Australia
20242069,Major Cities of Australia
20243156,Major Cities of Australia
20242251,Major Cities of Australia
20244034,Major Cities of Australia
20242090,Major Cities of Australia
20243231,Outer Regional Australia
20242194,Inner Regional Australia
20243142,Outer Regional Australia
20242043,Major Cities of Australia
20243124,Outer Regional Australia
20244007,Inner Regional Australia
20242060,Major Cities of Australia
20243104,Outer Regional Australia
20244041,Very Remote Australia
20246026,Outer Regional Australia
20243021,Outer Regional Australia
20242155,Inner Regional Australia
20242032,Major Cities of Australia
20241285,Major Cities of Australia
20244066,Outer Regional Australia
20242064,Major Cities of Australia
20242164,Major Cities of Australia
20244035,Inner Regional Australia
20243018,Major Cities of Australia
20242086,Major Cities of Australia
20243217,Outer Regional Australia
20243251,Inner Regional Australia
20243058,Outer Regional Australia
20244046,Inner Regional Australia
20243085,Inner Regional Australia
20244039,Inner Regional Australia
20243240,Outer Regional Australia
20246002,Outer Regional Australia
20242099,Inner Regional Australia
20243063,Major Cities of Australia
20241176,Major Cities of Australia
20247022,Very Remote Australia
20241086,Major Cities of Australia
20241224,Inner Regional Australia
20241265,Major Cities of Australia
20241202,Outer Regional Australia
20246023,Inner Regional Australia
20241293,Outer Regional Australia
20241299,Inner Regional Australia
20244078,Major Cities of Australia
20243164,Major Cities of Australia
20242201,Inner Regional Australia
20241307,Inner Regional Australia
20242074,Inner Regional Australia
20241243,Outer Regional Australia
20247034,Outer Regional Australia
20241260,Outer Regional Australia
20243004,Outer Regional Australia
20246014,Outer Regional Australia
20242024,Outer Regional Australia
20243169,Inner Regional Australia
20243081,Inner Regional Australia
20242169,Outer Regional Australia
20241110,Major Cities of Australia
20241082,Major Cities of Australia
20241159,Outer Regional Australia
20246022,Inner Regional Australia
20241229,Inner Regional Australia
20242026,Inner Regional Australia
20242268,Inner Regional Australia
20242238,Inner Regional Australia
20242122,Major Cities of Australia
20241046,Inner Regional Australia
20243192,Inner Regional Australia
20241032,Inner Regional Australia
20241031,Remote Australia
20243254,Major Cities of Australia
20243133,Very Remote Australia
20241203,Outer Regional Australia
20243118,Major Cities of Australia
20243173,Outer Regional Australia
20243199,Major Cities of Australia
20244003,Major Cities of Australia
20241298,Inner Regional Australia
20242112,Inner Regional Australia
20243092,Inner Regional Australia
20243042,Major Cities of Australia
20244005,Outer Regional Australia
20243178,Major Cities of Australia
20244050,Inner Regional Australia
20241208,Outer Regional Australia
20242259,Outer Regional Australia
20242212,Major Cities of Australia
20243019,Inner Regional Australia
20241036,Inner Regional Australia
20242226,Major Cities of Australia
20247007,Outer Regional Australia
20243074,Major Cities of Australia
20241003,Outer Regional Australia
20241277,Outer Regional Australia
20241249,Inner Regional Australia
20242020,Major Cities of Australia
20242108,Major Cities of Australia
20243120,Inner Regional Australia
20242187,Inner Regional Australia
20243116,Outer Regional Australia
20242133,Major Cities of Australia
20241092,Major Cities of Australia
20242121,Major Cities of Australia
20243214,Outer Regional Australia
20241118,Outer Regional Australia
20243157,Major Cities of Australia
20241190,Inner Regional Australia
20241097,Inner Regional Australia
20242265,Inner Regional Australia
20241250,Major Cities of Australia
20242200,Inner Regional Australia
20242234,Inner Regional Australia
20242048,Major Cities of Australia
20242003,Inner Regional Australia
20243252,Major Cities of Australia
20243061,Outer Regional Australia
20242162,Major Cities of Australia
20244071,Major Cities of Australia
20241047,Major Cities of Australia
20241205,Major Cities of Australia
20241024,Major Cities of Australia
20242096,Major Cities of Australia
20242240,Major Cities of Australia
20243139,Major Cities of Australia
20243075,Major Cities of Australia
20244051,Major Cities of Australia
20241070,Outer Regional Australia
20244079,Outer Regional Australia
20243051,Outer Regional Australia
20242237,Major Cities of Australia
20243148,Outer Regional Australia
20242157,Major Cities of Australia
20244022,Remote Australia
20241142,Inner Regional Australia
20241124,Inner Regional Australia
20241010,Outer Regional Australia
20241252,Inner Regional Australia
20243155,Very Remote Australia
20243163,Inner Regional Australia
20243269,Inner Regional Australia
20243056,Remote Australia
20243049,Remote Australia
20243103,Major Cities of Australia
20242233,Major Cities of Australia
20243014,Inner Regional Australia
20241198,Major Cities of Australia
20242249,Major Cities of Australia
20243154,Outer Regional Australia
20241100,Major Cities of Australia
20241074,Inner Regional Australia
20243263,Inner Regional Australia
20242016,Major Cities of Australia
20244017,Remote Australia
20244009,Major Cities of Australia
20242085,Major Cities of Australia
20244012,Very Remote Australia
20243205,Major Cities of Australia
20241035,Major Cities of Australia
20241161,Major Cities of Australia
20241062,Inner Regional Australia
20243119,Major Cities of Australia
20241155,Major Cities of Australia
20243152,Inner Regional Australia
20243053,Major Cities of Australia
20241039,Major Cities of Australia
20242154,Outer Regional Australia
20243215,Major Cities of Australia
20243026,Major Cities of Australia
20241050,Inner Regional Australia
20243271,Outer Regional Australia
20241133,Inner Regional Australia
20248008,Major Cities of Australia
20244037,Inner Regional Australia
20242143,Major Cities of Australia
20241273,Major Cities of Australia
20242067,Major Cities of Australia
20242214,Outer Regional Australia
20243238,Very Remote Australia
20242011,Inner Regional Australia
20241180,Major Cities of Australia
20241059,Major Cities of Australia
20241021,Major Cities of Australia
20242254,Major Cities of Australia
20243256,Outer Regional Australia
20241245,Inner Regional Australia
20243126,Inner Regional Australia
20244082,Inner Regional Australia
20241108,Major Cities of Australia
20242137,Inner Regional Australia
20241005,Inner Regional Australia
20241051,Inner Regional Australia
20243128,Outer Regional Australia
20242109,Major Cities of Australia
20241116,Major Cities of Australia
20243226,Inner Regional Australia
20242092,Major Cities of Australia
20242125,Major Cities of Australia
20244077,Inner Regional Australia
20242049,Major Cities of Australia
20243265,Major Cities of Australia
20243122,Inner Regional Australia
20243151,Inner Regional Australia
20241283,Outer Regional Australia
20242262,Major Cities of Australia
20242100,Remote Australia
20242211,Inner Regional Australia
20241168,Major Cities of Australia
20241162,Inner Regional Australia
20241073,Major Cities of Australia
20243097,Inner Regional Australia
20242182,Inner Regional Australia
20243123,Major Cities of Australia
20242044,Outer Regional Australia
20241120,Outer Regional Australia
20242266,Major Cities of Australia
20241048,Major Cities of Australia
20243023,Major Cities of Australia
20243137,Inner Regional Australia
20241200,Major Cities of Australia
20242151,Major Cities of Australia
20242223,Inner Regional Australia
20241259,Remote Australia
20241264,Major Cities of Australia
20243086,Major Cities of Australia
20242215,Inner Regional Australia
20246012,Outer Regional Australia
20244068,Major Cities of Australia
20241296,Major Cities of Australia
20241006,Major Cities of Australia
20241258,Major Cities of Australia
20241290,Inner Regional Australia
20241056,Inner Regional Australia
20242014,Major Cities of Australia
20241251,Major Cities of Australia
20243076,Outer Regional Australia
20243162,Outer Regional Australia
20242027,Major Cities of Australia
20243029,Major Cities of Australia
20242179,Major Cities of Australia
20244080,Inner Regional Australia
20242241,Inner Regional Australia
20244047,Inner Regional Australia
20241041,Major Cities of Australia
20241165,Outer Regional Australia
20242077,Major Cities of Australia
20242078,Major Cities of Australia
20242017,Inner Regional Australia
20243223,Outer Regional Australia
20241271,Major Cities of Australia
20242217,Major Cities of Australia
20242245,Inner Regional Australia
20241170,Major Cities of Australia
20242199,Major Cities of Australia
20241177,Outer Regional Australia
20246015,Inner Regional Australia
20242165,Inner Regional Australia
20241011,Major Cities of Australia
20243260,Major Cities of Australia
20241083,Major Cities of Australia
20246006,Outer Regional Australia
20244058,Inner Regional Australia
20243218,Inner Regional Australia
20241089,Major Cities of Australia
20243146,Outer Regional Australia
20241295,Major Cities of Australia
20243264,Inner Regional Australia
20241136,Outer Regional Australia
20241281,Inner Regional Australia
20241076,Major Cities of Australia
20244073,Outer Regional Australia
20242094,Inner Regional Australia
20241058,Outer Regional Australia
20241019,Inner Regional Australia
20241275,Outer Regional Australia
20243222,Major Cities of Australia
20241065,Outer Regional Australia
20243094,Major Cities of Australia
20243145,Outer Regional Australia
20241305,Inner Regional Australia
20242146,Inner Regional Australia
20241231,Outer Regional Australia
20241145,Major Cities of Australia
20241228,Outer Regional Australia
20243030,Outer Regional Australia
20243034,Outer Regional Australia
20242058,Major Cities of Australia
20241085,Inner Regional Australia
20243091,Inner Regional Australia
20243184,Inner Regional Australia
20242104,Outer Regional Australia
20248004,Inner Regional Australia
20242101,Inner Regional Australia
20243195,Outer Regional Australia
20243055,Major Cities of Australia
20241212,Inner Regional Australia
20241241,Major Cities of Australia
20243071,Major Cities of Australia
20241171,Outer Regional Australia
20243193,Outer Regional Australia
20244011,Very Remote Australia
20242225,Inner Regional Australia
20242160,Inner Regional Australia
20241183,Outer Regional Australia
20241025,Outer Regional Australia
20241079,Inner Regional Australia
20246010,Outer Regional Australia
20242235,Outer Regional Australia
20242113,Outer Regional Australia
20242025,Inner Regional Australia
20241148,Major Cities of Australia
20241262,Major Cities of Australia
20241172,Major Cities of Australia
20242192,Inner Regional Australia
20241014,Inner Regional Australia
20242191,Major Cities of Australia
20243189,Outer Regional Australia
20244033,Very Remote Australia
20241206,Inner Regional Australia
20243069,Outer Regional Australia
20243188,Major Cities of Australia
20241130,Major Cities of Australia
20241178,Major Cities of Australia
20248011,Major Cities of Australia
20241043,Outer Regional Australia
20244054,Outer Regional Australia
20243032,Major Cities of Australia
20244015,Inner Regional Australia
20243112,Outer Regional Australia
20243253,Major Cities of Australia
20246028,Outer Regional Australia
20242244,Inner Regional Australia
20244006,Major Cities of Australia
20241154,Inner Regional Australia
20241146,Major Cities of Australia
20242009,Inner Regional Australia
20241217,Inner Regional Australia
20242030,Inner Regional Australia
20243025,Very Remote Australia
20242168,Inner Regional Australia
20246021,Outer Regional Australia
20241238,Inner Regional Australia
20241158,Inner Regional Australia
20243228,Major Cities of Australia
20242210,Inner Regional Australia
20242253,Inner Regional Australia
20242256,Inner Regional Australia
20241289,Remote Australia
20243045,Inner Regional Australia
20242028,Inner Regional Australia
20243054,Major Cities of Australia
20241187,Major Cities of Australia
20246007,Outer Regional Australia
20241126,Outer Regional Australia
20244049,Inner Regional Australia
20242021,Inner Regional Australia
20242045,Major Cities of Australia
20243101,Inner Regional Australia
20242206,Outer Regional Australia
20242117,Inner Regional Australia
20241226,Outer Regional Australia
20242079,Outer Regional Australia
20241156,Outer Regional Australia
20243093,Inner Regional Australia
20243125,Major Cities of Australia
20243134,Major Cities of Australia
20242239,Inner Regional Australia
20241232,Outer Regional Australia
20241061,Major Cities of Australia
20244056,Remote Australia
20242039,Outer Regional Australia
20241182,Inner Regional Australia
20241044,Outer Regional Australia
20242131,Inner Regional Australia
20244031,Outer Regional Australia
20242059,Major Cities of Australia
20242033,Major Cities of Australia
20241207,Inner Regional Australia
20243033,Inner Regional Australia
20242159,Major Cities of Australia
20243177,Inner Regional Australia
20243241,Major Cities of Australia
20243132,Major Cities of Australia
20243159,Major Cities of Australia
20242072,Inner Regional Australia
20243028,Outer Regional Australia
20243105,Outer Regional Australia
20242258,Outer Regional Australia
20241007,Inner Regional Australia
20241227,Major Cities of Australia
20243130,Inner Regional Australia
20242065,Major Cities of Australia
20243259,Major Cities of Australia
20244052,Inner Regional Australia
20242247,Major Cities of Australia
20241093,Inner Regional Australia
20241276,Major Cities of Australia
20242208,Inner Regional Australia
20241157,Inner Regional Australia
20244065,Outer Regional Australia
20242054,Major Cities of Australia
20242221,Inner Regional Australia
20242197,Inner Regional Australia
20241075,Outer Regional Australia
20241279,Major Cities of Australia
20243095,Major Cities of Australia
20243272,Outer Regional Australia
20243027,Major Cities of Australia
20248001,Major Cities of Australia
20242228,Major Cities of Australia
20242105,Inner Regional Australia
20241069,Major Cities of Australia
20244074,Inner Regional Australia
20244008,Inner Regional Australia
20243100,Inner Regional Australia
20241122,Major Cities of Australia
20244064,Outer Regional Australia
20243138,Inner Regional Australia
20241141,Inner Regional Australia
20241244,Major Cities of Australia
20242236,Inner Regional Australia
20242195,Inner Regional Australia
20242010,Major Cities of Australia
20242205,Inner Regional Australia
20244002,Outer Regional Australia
20242041,Inner Regional Australia
20242084,Major Cities of Australia
20243230,Outer Regional Australia
20241114,Major Cities of Australia
20243068,Inner Regional Australia
20243099,Inner Regional Australia
20242145,Inner Regional Australia
20243062,Inner Regional Australia
20244048,Major Cities of Australia
20241112,Major Cities of Australia
20243047,Major Cities of Australia
20242198,Inner Regional Australia
20243202,Remote Australia
20244029,Outer Regional Australia
20241185,Inner Regional Australia
20242153,Major Cities of Australia
20243257,Outer Regional Australia
20243149,Major Cities of Australia
20242202,Outer Regional Australia
20243245,Inner Regional Australia
20244004,Major Cities of Australia
20241123,Outer Regional Australia
20242222,Outer Regional Australia
20242248,Inner Regional Australia
20241213,Inner Regional Australia
20242220,Major Cities of Australia
20242047,Major Cities of Australia
20243270,Outer Regional Australia
20241121,Inner Regional Australia
20243016,Inner Regional Australia
20241038,Inner Regional Australia
20243200,Major Cities of Australia
20243039,Inner Regional Australia
20242246,Major Cities of Australia
20242063,Inner Regional Australia
20243180,Inner Regional Australia
20241297,Outer Regional Australia
20243059,Major Cities of Australia
20242242,Inner Regional Australia
20242091,Major Cities of Australia
20243077,Very Remote Australia
20244038,Major Cities of Australia
20243136,Major Cities of Australia
20243211,Outer Regional Australia
20241270,Outer Regional Australia
20241225,Outer Regional Australia
20241084,Inner Regional Australia
20243050,Inner Regional Australia
20243216,Major Cities of Australia
20242190,Major Cities of Australia
20243115,Inner Regional Australia
20242116,Major Cities of Australia
20241129,Inner Regional Australia
20244076,Inner Regional Australia
20243141,Major Cities of Australia
20241095,Outer Regional Australia
20242082,Inner Regional Australia
20241090,Major Cities of Australia
20241113,Inner Regional Australia
20243258,Outer Regional Australia
20244053,Major Cities of Australia
20241064,Outer Regional Australia
20243175,Remote Australia
20243183,Remote Australia
20241049,Inner Regional Australia
20241242,Major Cities of Australia
20241144,Inner Regional Australia
20243262,Major Cities of Australia
20241001,Inner Regional Australia
20242231,Inner Regional Australia
20241018,Major Cities of Australia
20241105,Major Cities of Australia
20241282,Inner Regional Australia
20243204,Outer Regional Australia
20243224,Major Cities of Australia
20243179,Major Cities of Australia
20241192,Major Cities of Australia
20241026,Inner Regional Australia
20241067,Inner Regional Australia
20242001,Major Cities of Australia
20243013,Outer Regional Australia
20241191,Remote Australia
20242031,Major Cities of Australia
20241117,Major Cities of Australia
20246020,Inner Regional Australia
20241012,Inner Regional Australia
20242263,Outer Regional Australia
20242038,Inner Regional Australia
20246005,Inner Regional Australia
20244030,Outer Regional Australia
20242061,Inner Regional Australia
20244036,Inner Regional Australia
20242134,Major Cities of Australia
20243060,Outer Regional Australia
20242002,Inner Regional Australia
20243057,Outer Regional Australia
20243166,Outer Regional Australia
20242203,Inner Regional Australia
20243196,Outer Regional Australia
20241214,Major Cities of Australia
20242083,Inner Regional Australia
20241272,Major Cities of Australia
20241104,Major Cities of Australia
20243182,Major Cities of Australia
20242180,Major Cities of Australia
20242126,Major Cities of Australia
20241023,Outer Regional Australia
20243065,Major Cities of Australia
20243083,Inner Regional Australia
20244070,Major Cities of Australia
20243048,Inner Regional Australia
20241280,Inner Regional Australia
20242118,Major Cities of Australia
20241193,Inner Regional Australia
20242150,Inner Regional Australia
20241239,Inner Regional Australia
20242111,Major Cities of Australia
20243255,Remote Australia
20241033,Inner Regional Australia
20241288,Outer Regional Australia
20243012,Major Cities of Australia
20241164,Outer Regional Australia
20243250,Major Cities of Australia
20242076,Major Cities of Australia
20241099,Major Cities of Australia
20243052,Outer Regional Australia
20241015,Outer Regional Australia
20243219,Inner Regional Australia
20241184,Major Cities of Australia
20241284,Inner Regional Australia
20242218,Inner Regional Australia
20241008,Major Cities of Australia
20244075,Major Cities of Australia
20242147,Major Cities of Australia
20248010,Major Cities of Australia
20234108,Major Cities of Australia
20234099,Major Cities of Australia
20233145,Inner Regional Australia
20236026,Outer Regional Australia
20233259,Outer Regional Australia
20236028,Remote Australia
20231088,Inner Regional Australia
20231189,Outer Regional Australia
20232156,Major Cities of Australia
20233100,Outer Regional Australia
20231103,Major Cities of Australia
20232192,Outer Regional Australia
20233056,Outer Regional Australia
20231091,Outer Regional Australia
20232211,Outer Regional Australia
20231104,Inner Regional Australia
20231155,Major Cities of Australia
20232098,Major Cities of Australia
20232128,Outer Regional Australia
20233085,Inner Regional Australia
20234027,Outer Regional Australia
20232061,Inner Regional Australia
20234033,Inner Regional Australia
20232044,Major Cities of Australia
20232250,Major Cities of Australia
20233231,Major Cities of Australia
20231020,Major Cities of Australia
20231115,Outer Regional Australia
20231038,Inner Regional Australia
20231108,Inner Regional Australia
20231281,Inner Regional Australia
20233078,Inner Regional Australia
20231261,Inner Regional Australia
20233258,Major Cities of Australia
20236009,Inner Regional Australia
20232237,Major Cities of Australia
20232188,Major Cities of Australia
20233165,Major Cities of Australia
20231098,Outer Regional Australia
20234029,Major Cities of Australia
20231102,Inner Regional Australia
20231198,Major Cities of Australia
20231129,Inner Regional Australia
20231231,Inner Regional Australia
20233120,Inner Regional Australia
20232196,Major Cities of Australia
20234053,Remote Australia
20232240,Major Cities of Australia
20231095,Major Cities of Australia
20232119,Major Cities of Australia
20232243,Inner Regional Australia
20234042,Inner Regional Australia
20232067,Major Cities of Australia
20234079,Major Cities of Australia
20231023,Major Cities of Australia
20233221,Inner Regional Australia
20233081,Inner Regional Australia
20231076,Remote Australia
20232045,Major Cities of Australia
20236006,Outer Regional Australia
20234061,Outer Regional Australia
20232201,Major Cities of Australia
20236025,Outer Regional Australia
20233189,Outer Regional Australia
20233111,Inner Regional Australia
20232097,Major Cities of Australia
20233036,Major Cities of Australia
20231250,Outer Regional Australia
20233228,Inner Regional Australia
20234084,Outer Regional Australia
20232009,Outer Regional Australia
20231145,Outer Regional Australia
20231056,Outer Regional Australia
20232115,Inner Regional Australia
20233012,Major Cities of Australia
20232018,Inner Regional Australia
20233200,Major Cities of Australia
20233110,Remote Australia
20233154,Inner Regional Australia
20231223,Outer Regional Australia
20234067,Major Cities of Australia
20231182,Inner Regional Australia
20238004,Major Cities of Australia
20231173,Outer Regional Australia
20233155,Inner Regional Australia
20233161,Outer Regional Australia
20234020,Major Cities of Australia
20231052,Major Cities of Australia
20231296,Inner Regional Australia
20231143,Major Cities of Australia
20234021,Major Cities of Australia
20231302,Outer Regional Australia
20231285,Inner Regional Australia
20231178,Major Cities of Australia
20234031,Inner Regional Australia
20237013,Outer Regional Australia
20233136,Inner Regional Australia
20233051,Outer Regional Australia
20231229,Major Cities of Australia
20233176,Remote Australia
20234068,Outer Regional Australia
20231044,Major Cities of Australia
20231190,Inner Regional Australia
20236012,Remote Australia
20233205,Outer Regional Australia
20233074,Outer Regional Australia
